subject	trial	tone	rt	response
13	1	lo	2113	None
13	2	lo	2102	None
13	3	lo	2107	None
13	4	lo	2108	None
13	5	lo	2107	None
13	6	lo	2103	None
13	7	lo	2106	None
13	8	lo	2109	None
13	9	lo	2108	None
13	10	lo	2108	None
13	11	hi	847	space
13	12	lo	2103	None
13	13	lo	2110	None
13	14	lo	2109	None
13	15	lo	2108	None
13	16	lo	2109	None
13	17	lo	2102	None
13	18	lo	2114	None
13	19	lo	2110	None
13	20	lo	2106	None
13	21	lo	2108	None
13	22	lo	2106	None
13	23	lo	2111	None
13	24	lo	2109	None
13	25	lo	2110	None
13	26	lo	2113	None
13	27	hi	837	space
13	28	lo	2103	None
13	29	lo	2111	None
13	30	lo	2109	None
13	31	hi	847	space
13	32	lo	2107	None
13	33	lo	2107	None
13	34	lo	2109	None
13	35	hi	873	space
13	36	hi	921	space
13	37	lo	2116	None
13	38	lo	2104	None
13	39	lo	2103	None
13	40	lo	2110	None
13	41	lo	2106	None
13	42	lo	2102	None
13	43	lo	2111	None
13	44	lo	2108	None
13	45	lo	2107	None
13	46	lo	2103	None
13	47	lo	2104	None
13	48	lo	2108	None
13	49	lo	2103	None
13	50	hi	831	space
13	51	lo	2113	None
13	52	lo	2102	None
13	53	lo	2110	None
13	54	hi	810	space
13	55	lo	2109	None
13	56	lo	2109	None
13	57	lo	2113	None
13	58	lo	2103	None
13	59	hi	819	space
13	60	hi	929	space
13	61	hi	967	space
13	62	lo	2109	None
13	63	lo	2106	None
13	64	lo	2109	None
13	65	hi	870	space
13	66	lo	2107	None
13	67	hi	1036	space
13	68	lo	2111	None
13	69	hi	825	space
13	70	lo	2103	None
13	71	lo	2103	None
13	72	lo	2109	None
13	73	lo	2108	None
13	74	lo	2102	None
13	75	hi	848	space
13	76	hi	955	space
13	77	lo	2114	None
13	78	lo	2103	None
13	79	lo	2108	None
13	80	lo	2109	None
13	81	lo	2109	None
13	82	lo	2103	None
13	83	lo	2102	None
13	84	lo	2103	None
13	85	lo	2107	None
13	86	hi	923	space
13	87	hi	903	space
13	88	lo	2108	None
13	89	lo	2109	None
13	90	lo	2108	None
13	91	lo	2109	None
13	92	lo	2108	None
13	93	hi	768	space
13	94	hi	1018	space
13	95	lo	2102	None
13	96	hi	780	space
13	97	lo	2104	None
13	98	lo	2107	None
13	99	lo	2108	None
13	100	lo	2107	None
13	101	lo	2107	None
13	102	lo	2112	None
13	103	hi	869	space
13	104	lo	2113	None
13	105	lo	2110	None
13	106	hi	776	space
13	107	lo	2106	None
13	108	lo	2107	None
13	109	lo	2107	None
13	110	lo	2106	None
13	111	lo	2107	None
13	112	lo	2106	None
13	113	lo	2108	None
13	114	hi	819	space
13	115	lo	2106	None
13	116	lo	2110	None
13	117	lo	2109	None
13	118	lo	2109	None
13	119	lo	2108	None
13	120	lo	2108	None
13	121	lo	2108	None
13	122	lo	2110	None
13	123	lo	2113	None
13	124	lo	2108	None
13	125	lo	2108	None
13	126	lo	2103	None
13	127	lo	2112	None
13	128	lo	2104	None
13	129	lo	2103	None
13	130	lo	2107	None
13	131	lo	2107	None
13	132	hi	859	space
13	133	hi	876	space
13	134	lo	2102	None
13	135	lo	2109	None
13	136	lo	2114	None
13	137	hi	853	space
13	138	lo	2110	None
13	139	hi	840	space
13	140	lo	2103	None
13	141	lo	2106	None
13	142	lo	2112	None
13	143	hi	742	space
13	144	hi	884	space
13	145	lo	2103	None
13	146	lo	2109	None
13	147	lo	2109	None
13	148	lo	2106	None
13	149	lo	2102	None
13	150	lo	2108	None
13	151	hi	807	space
13	152	lo	2108	None
13	153	hi	798	space
13	154	lo	2111	None
13	155	lo	2103	None
13	156	lo	2106	None
13	157	lo	2113	None
13	158	lo	2109	None
13	159	hi	866	space
13	160	lo	2103	None
13	161	lo	2107	None
13	162	lo	2111	None
13	163	hi	748	space
13	164	hi	1200	space
13	165	lo	2102	None
13	166	lo	2103	None
13	167	lo	2111	None
13	168	lo	2109	None
13	169	lo	2109	None
13	170	lo	2103	None
13	171	hi	856	space
13	172	lo	2109	None
13	173	lo	2113	None
13	174	hi	834	space
13	175	lo	2108	None
13	176	lo	2107	None
13	177	hi	946	space
13	178	lo	2107	None
13	179	lo	2107	None
13	180	lo	2109	None
13	181	lo	2108	None
13	182	lo	2106	None
13	183	lo	2108	None
13	184	lo	2109	None
13	185	lo	2108	None
13	186	lo	2109	None
13	187	lo	2103	None
13	188	lo	2110	None
13	189	lo	2110	None
13	190	lo	2111	None
13	191	lo	2108	None
13	192	lo	2113	None
13	193	lo	2106	None
13	194	lo	2109	None
13	195	lo	2108	None
13	196	lo	2107	None
13	197	hi	691	space
13	198	lo	2109	None
13	199	lo	2109	None
13	200	lo	2103	None
13	201	lo	2102	None
13	202	lo	2108	None
13	203	lo	2111	None
13	204	lo	2110	None
13	205	lo	2102	None
13	206	lo	2109	None
13	207	hi	843	space
13	208	hi	865	space
13	209	lo	2108	None
13	210	lo	2109	None
13	211	hi	931	space
13	212	hi	861	space
13	213	lo	2103	None
13	214	lo	2103	None
13	215	hi	963	space
13	216	lo	2114	None
13	217	hi	828	space
13	218	lo	2108	None
13	219	hi	715	space
13	220	lo	2107	None
13	221	hi	821	space
13	222	lo	2107	None
13	223	hi	653	space
13	224	lo	2110	None
13	225	lo	2103	None
13	226	lo	2110	None
13	227	lo	2110	None
13	228	lo	2102	None
13	229	lo	2108	None
13	230	lo	2103	None
13	231	hi	789	space
13	232	lo	2109	None
13	233	lo	2110	None
13	234	lo	2102	None
13	235	lo	2109	None
13	236	lo	2109	None
13	237	lo	2113	None
13	238	lo	2108	None
13	239	hi	2011	space
13	240	hi	990	space
13	241	lo	2108	None
13	242	lo	2109	None
13	243	lo	2108	None
13	244	hi	885	space
13	245	lo	2102	None
13	246	lo	2108	None
13	247	lo	2109	None
13	248	lo	2109	None
13	249	lo	2102	None
13	250	lo	2109	None
13	251	lo	2102	None
13	252	lo	2111	None
13	253	lo	2109	None
13	254	lo	2110	None
13	255	hi	762	space
13	256	lo	2109	None
13	257	lo	2107	None
13	258	lo	2109	None
13	259	lo	2107	None
13	260	lo	2107	None
13	261	lo	2108	None
13	262	lo	2110	None
13	263	lo	2108	None
13	264	lo	2108	None
13	265	lo	2108	None
13	266	lo	2108	None
13	267	lo	2109	None
13	268	lo	2110	None
13	269	lo	2105	None
13	270	lo	2110	None
13	271	lo	2110	None
13	272	lo	2109	None
13	273	lo	2109	None
13	274	lo	2110	None
13	275	lo	2102	None
13	276	hi	861	space
13	277	hi	870	space
13	278	hi	917	space
13	279	lo	2111	None
13	280	hi	932	space
13	281	lo	2108	None
13	282	lo	2114	None
13	283	lo	2107	None
13	284	lo	2102	None
13	285	lo	2103	None
13	286	lo	2109	None
13	287	lo	2107	None
13	288	hi	815	space
13	289	lo	2103	None
13	290	lo	2103	None
13	291	lo	2107	None
13	292	lo	2103	None
13	293	lo	2108	None
13	294	lo	2115	None
13	295	lo	2108	None
13	296	lo	2103	None
13	297	lo	2107	None
13	298	lo	2113	None
13	299	lo	2109	None
13	300	lo	2111	None
13	301	hi	802	space
13	302	lo	2108	None
13	303	lo	2111	None
13	304	hi	912	space
13	305	lo	2106	None
13	306	lo	2108	None
13	307	lo	2105	None
13	308	hi	807	space
13	309	lo	2114	None
13	310	lo	2109	None
13	311	lo	2108	None
13	312	lo	2111	None
13	313	lo	2107	None
13	314	lo	2107	None
13	315	lo	2108	None
13	316	lo	2102	None
13	317	lo	2106	None
13	318	lo	2111	None
13	319	hi	786	space
13	320	lo	2108	None
13	321	lo	2111	None
13	322	hi	866	space
13	323	hi	961	space
13	324	hi	872	space
13	325	hi	957	space
13	326	lo	2109	None
13	327	lo	2103	None
13	328	lo	2109	None
13	329	lo	2107	None
13	330	hi	823	space
13	331	lo	2107	None
13	332	lo	2110	None
13	333	lo	2107	None
13	334	lo	2111	None
13	335	lo	2107	None
13	336	lo	2106	None
13	337	hi	858	space
13	338	lo	2107	None
13	339	lo	2108	None
13	340	lo	2106	None
13	341	lo	2108	None
13	342	lo	2109	None
13	343	hi	783	space
13	344	lo	2103	None
13	345	lo	2109	None
13	346	lo	2111	None
13	347	lo	2109	None
13	348	lo	2111	None
13	349	lo	2115	None
13	350	lo	2109	None
13	351	lo	2112	None
13	352	lo	2111	None
13	353	lo	2103	None
13	354	hi	880	space
13	355	hi	866	space
13	356	lo	2102	None
13	357	lo	2109	None
13	358	lo	2111	None
13	359	lo	2112	None
13	360	lo	2106	None
13	361	lo	2112	None
13	362	lo	2110	None
13	363	hi	946	space
13	364	hi	927	space
13	365	lo	2107	None
13	366	hi	981	space
13	367	lo	2103	None
13	368	lo	2102	None
13	369	hi	841	space
13	370	lo	2108	None
13	371	hi	815	space
13	372	lo	2103	None
13	373	lo	2108	None
13	374	lo	2108	None
13	375	lo	2112	None
13	376	lo	2110	None
13	377	hi	817	space
13	378	lo	2107	None
13	379	lo	2106	None
13	380	lo	2108	None
13	381	lo	2102	None
13	382	hi	717	space
13	383	lo	2110	None
13	384	lo	2108	None
13	385	hi	909	space
13	386	hi	827	space
13	387	lo	2110	None
13	388	lo	2103	None
13	389	lo	2103	None
13	390	lo	2109	None
13	391	lo	2108	None
13	392	lo	2102	None
13	393	hi	803	space
13	394	hi	875	space
13	395	lo	2109	None
13	396	lo	2109	None
13	397	lo	2108	None
13	398	lo	2107	None
13	399	lo	2109	None
13	400	lo	2108	None
13	401	hi	817	space
13	402	lo	2108	None
13	403	lo	2107	None
13	404	lo	2109	None
13	405	lo	2109	None
13	406	lo	2103	None
13	407	hi	714	space
13	408	lo	2107	None
13	409	lo	2102	None
13	410	lo	2109	None
13	411	lo	2115	None
13	412	lo	2106	None
13	413	lo	2109	None
13	414	hi	805	space
13	415	lo	2108	None
13	416	lo	2110	None
13	417	lo	2113	None
13	418	lo	2103	None
13	419	hi	895	space
13	420	hi	883	space
13	421	lo	2113	None
13	422	lo	2111	None
13	423	hi	975	space
13	424	lo	2109	None
13	425	lo	2114	None
13	426	lo	2109	None
13	427	lo	2110	None
13	428	hi	799	space
13	429	lo	2107	None
13	430	hi	811	space
13	431	lo	2108	None
13	432	lo	2111	None
13	433	lo	2109	None
13	434	lo	2108	None
13	435	lo	2107	None
13	436	lo	2112	None
13	437	lo	2108	None
13	438	lo	2109	None
13	439	hi	822	space
13	440	hi	866	space
13	441	lo	2103	None
13	442	hi	910	space
13	443	hi	767	space
13	444	hi	784	space
13	445	hi	864	space
13	446	lo	2108	None
13	447	lo	2109	None
13	448	lo	2109	None
13	449	lo	2109	None
13	450	lo	2112	None
13	451	lo	2103	None
13	452	hi	860	space
13	453	hi	760	space
13	454	lo	2108	None
13	455	lo	2109	None
13	456	lo	2102	None
13	457	lo	2109	None
13	458	lo	2102	None
13	459	lo	2107	None
13	460	lo	2111	None
13	461	hi	943	space
13	462	lo	2113	None
13	463	lo	2103	None
13	464	lo	2107	None
13	465	lo	2107	None
13	466	lo	2109	None
13	467	hi	738	space
13	468	lo	2102	None
13	469	lo	2102	None
13	470	lo	2109	None
13	471	lo	2109	None
13	472	lo	2108	None
13	473	lo	2107	None
13	474	lo	2109	None
13	475	lo	2109	None
13	476	lo	2110	None
13	477	hi	1055	space
13	478	lo	2109	None
13	479	lo	2113	None
13	480	hi	832	space
13	481	lo	2102	None
13	482	lo	2109	None
13	483	hi	1060	space
13	484	hi	874	space
13	485	lo	2114	None
13	486	lo	2109	None
13	487	hi	955	space
13	488	lo	2109	None
13	489	lo	2108	None
13	490	lo	2109	None
13	491	hi	831	space
13	492	lo	2108	None
13	493	lo	2109	None
13	494	hi	721	space
13	495	lo	2108	None
13	496	lo	2108	None
13	497	lo	2109	None
13	498	lo	2109	None
13	499	hi	778	space
13	500	hi	816	space
13	501	lo	2108	None
13	502	lo	2110	None
13	503	lo	2108	None
13	504	lo	2103	None
13	505	hi	866	space
13	506	lo	2109	None
13	507	hi	972	space
13	508	lo	2109	None
13	509	lo	2108	None
13	510	hi	941	space
13	511	lo	2105	None
13	512	lo	2108	None
13	513	hi	821	space
13	514	lo	2106	None
13	515	lo	2108	None
13	516	lo	2109	None
13	517	hi	903	space
13	518	hi	1187	space
13	519	lo	2112	None
13	520	lo	2108	None
13	521	lo	2102	None
13	522	hi	948	space
13	523	hi	971	space
13	524	lo	2106	None
13	525	hi	969	space
13	526	lo	2108	None
13	527	lo	2108	None
13	528	lo	2109	None
13	529	lo	2111	None
13	530	lo	2109	None
13	531	lo	2112	None
13	532	lo	2109	None
13	533	lo	2102	None
13	534	lo	2109	None
13	535	lo	2107	None
13	536	hi	877	space
13	537	lo	2102	None
13	538	lo	2102	None
13	539	hi	1283	space
13	540	lo	2108	None
